id,status,timbre
2i4uvlb57bBUgj0WJXXLkl,200,"[0.304, 0.436, 0.439, 0.602, 0.657, 0.755, 0.877, 1.0, 0.743, 0.718, 0.274, 0.161]"
1fvak9kYcNUwTqHyrCVlOE,200,"[1.0, 0.663, 0.364, 0.342, 0.295, 0.245, 0.128, 0.165, 0.387, 0.309, 0.678, 0.309]"
2XClOcYg8wHD2o2mk9MAlB,200,"[0.856, 0.94, 1.0, 0.932, 0.591, 0.554, 0.678, 0.705, 0.77, 0.563, 0.454, 0.394]"
5JXtvxTm50hBogEcX8HON8,200,"[0.281, 0.326, 0.297, 0.246, 0.255, 0.274, 0.253, 1.0, 0.475, 0.256, 0.757, 0.741]"
4g3kudjTnpO988V4SheY7o,200,"[0.682, 1.0, 0.201, 0.052, 0.016, 0.028, 0.009, 0.054, 0.197, 0.072, 0.04, 0.029]"
3u1XaxQ7TpmCHEY7cw4XCS,200,"[0.88, 1.0, 0.425, 0.581, 0.74, 0.7, 0.74, 0.755, 0.382, 0.493, 0.912, 0.255]"
3mFJWbTs3g1aJrA74G8uzB,200,"[1.0, 0.932, 0.766, 0.854, 0.889, 0.603, 0.607, 0.326, 0.392, 0.829, 0.661, 0.45]"
32ualgn4NFEWCqt6mXMj88,200,"[1.0, 0.99, 0.947, 0.877, 0.728, 0.714, 0.698, 0.654, 0.632, 0.549, 0.519, 0.443]"
00pLdKSykQZIckRBS5Iwc9,200,"[1.0, 0.696, 0.213, 0.107, 0.097, 0.104, 0.137, 0.085, 0.035, 0.03, 0.025, 0.099]"
1oAnJGmuzPeUvR5QgodjaW,200,"[0.025, 0.783, 1.0, 0.047, 0.006, 0.004, 0.011, 0.003, 0.004, 0.053, 0.009, 0.004]"
5P82dJMdcl27cCdgOAiuXC,200,"[0.332, 0.373, 1.0, 0.687, 0.216, 0.187, 0.142, 0.151, 0.146, 0.179, 0.17, 0.218]"
6kCizadlyrU2yqh2NYGrcx,200,"[0.956, 1.0, 0.539, 0.502, 0.422, 0.413, 0.526, 0.535, 0.504, 0.506, 0.771, 0.476]"
4rs7nKyw8IPXk8jL0ZNLIR,200,"[0.043, 0.511, 1.0, 0.203, 0.042, 0.022, 0.015, 0.014, 0.077, 0.111, 0.019, 0.019]"
22eEYmjjaLJ6lH2pxnWajb,200,"[0.208, 0.263, 0.495, 0.491, 0.188, 0.239, 0.358, 0.467, 0.423, 1.0, 0.642, 0.364]"
3DYBjJmbciOoq9GxZerzcA,200,"[0.126, 0.848, 1.0, 0.345, 0.171, 0.57, 0.184, 0.09, 0.082, 0.028, 0.026, 0.074]"
2ehuI0Tzudyiivrdj0Zx5N,200,"[0.276, 0.063, 0.904, 0.12, 0.033, 0.054, 0.063, 1.0, 0.12, 0.357, 0.069, 0.044]"
4hANpMzryBNH6q6Pooechw,200,"[1.0, 0.867, 0.376, 0.247, 0.134, 0.037, 0.062, 0.096, 0.071, 0.043, 0.058, 0.501]"
1btBiyAnPER8a318EAvOUw,200,"[1.0, 0.752, 0.03, 0.033, 0.045, 0.04, 0.036, 0.041, 0.035, 0.031, 0.033, 0.219]"
4FS5mSOxKxiI1y1mnFZ5Lf,200,"[0.451, 1.0, 0.628, 0.457, 0.964, 0.148, 0.088, 0.071, 0.2, 0.473, 0.081, 0.261]"
6T080JWwX5xPI81itSlYe4,200,"[0.962, 1.0, 0.562, 0.537, 0.495, 0.495, 0.469, 0.505, 0.491, 0.457, 0.441, 0.039]"
2ceyScWvkgx5T9llhKRJX0,200,"[0.113, 0.101, 1.0, 0.135, 0.259, 0.189, 0.212, 0.114, 0.097, 0.104, 0.072, 0.09]"
3hvTXyLmyln0en6QPHW45H,200,"[0.663, 1.0, 0.762, 0.779, 0.641, 0.708, 0.788, 0.756, 0.647, 0.709, 0.731, 0.477]"
0AWToErhHcIuZgh6mMhzAc,200,"[0.11, 0.146, 0.22, 0.104, 0.146, 0.232, 0.22, 1.0, 0.686, 0.545, 0.599, 0.312]"
7HEkdoV8FQan7eg0NCbcrW,200,"[0.272, 0.457, 0.392, 0.373, 0.394, 0.279, 0.465, 0.785, 1.0, 0.383, 0.323, 0.264]"
7HxmrxySFNFu5ppnTDdNPv,200,"[1.0, 0.63, 0.406, 0.391, 0.224, 0.202, 0.338, 0.348, 0.331, 0.356, 0.423, 0.313]"
2Erq6DO0yzBMb5hVpDRV5J,200,"[0.072, 0.142, 0.293, 1.0, 0.319, 0.122, 0.057, 0.37, 0.078, 0.131, 0.521, 0.098]"
08rB2sciCSbEm1npY0QWsc,200,"[0.922, 0.306, 0.309, 0.35, 0.448, 0.974, 0.541, 0.578, 0.665, 0.71, 1.0, 0.491]"
2V4oczOsqyzunDSVkllqbe,200,"[0.086, 0.586, 0.572, 0.572, 0.999, 1.0, 0.56, 0.56, 0.024, 0.024, 0.024, 0.002]"
09VStOkSGADL7E8Z5imnHg,200,"[0.302, 0.843, 1.0, 0.35, 0.223, 0.149, 0.112, 0.159, 0.103, 0.162, 0.112, 0.098]"
0BwybKZhxc5BSZl1M3LvI5,200,"[1.0, 0.969, 0.326, 0.282, 0.241, 0.241, 0.24, 0.231, 0.22, 0.196, 0.184, 0.4]"
7tU5JvCfG0t3PHG7mchPjv,200,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
1QbyiOriMGa5F4pxGc41WG,200,"[0.42, 0.656, 1.0, 0.574, 0.359, 0.324, 0.297, 0.213, 0.18, 0.339, 0.239, 0.212]"
129D6y84vOl0U3Rc0r3E7k,200,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0SPnUZaZLCqDU4k3BLVjSg,200,"[0.056, 0.021, 0.035, 0.021, 0.017, 1.0, 0.02, 0.013, 0.011, 0.025, 0.009, 0.01]"
0SWhHsiZuYtl63xmjAcBQR,200,"[0.801, 0.895, 0.809, 0.607, 0.417, 0.206, 0.427, 0.846, 1.0, 0.612, 0.354, 0.358]"
6RRLGF6bkMzZLROp1w94qM,200,"[0.051, 0.003, 0.006, 0.004, 0.289, 1.0, 0.083, 0.007, 0.009, 0.016, 0.002, 0.007]"
0Zqg3X8Z0xlEa8RaoSmCOC,200,"[0.728, 0.711, 0.754, 0.78, 0.798, 0.766, 0.848, 1.0, 0.953, 0.857, 0.905, 0.772]"
4x4fgy4tU5YjRXFIXvUMXp,200,"[0.494, 1.0, 0.59, 0.398, 0.366, 0.49, 0.499, 0.405, 0.641, 0.851, 0.682, 0.538]"
16paQ8IFly44yvObRmo7kb,200,"[0.973, 1.0, 0.824, 0.891, 0.925, 0.877, 0.765, 0.691, 0.665, 0.772, 0.816, 0.799]"
31rCzJjXjMKR3Bw2PCTgbC,200,"[0.712, 0.706, 0.768, 0.834, 1.0, 0.626, 0.471, 0.406, 0.426, 0.455, 0.361, 0.401]"
6nlJYexd42ZfxNl4k1R4t0,200,"[0.811, 0.926, 1.0, 0.798, 0.545, 0.539, 0.571, 0.471, 0.526, 0.447, 0.283, 0.334]"
2sqIHd4IJ6U54bmfhy3VI0,200,"[0.98, 1.0, 0.389, 0.37, 0.366, 0.376, 0.338, 0.287, 0.259, 0.215, 0.195, 0.401]"
07FJ2ejB4tNSOVWhQSjEnM,200,"[0.256, 0.27, 0.477, 0.123, 0.087, 0.178, 1.0, 0.151, 0.161, 0.443, 0.342, 0.286]"
45USY3MK3zeFfCPOnBYhFq,200,"[1.0, 0.73, 0.195, 0.23, 0.157, 0.243, 0.273, 0.244, 0.225, 0.221, 0.218, 0.351]"
4AebeN7fovjt8dgKLswjRk,200,"[0.129, 0.074, 0.049, 0.128, 1.0, 0.209, 0.113, 0.019, 0.215, 0.052, 0.028, 0.722]"
38JampzgxrlduUREcfc2mQ,200,"[0.55, 0.429, 0.326, 0.301, 0.207, 0.248, 0.188, 1.0, 0.197, 0.203, 0.476, 0.28]"
35TYzUH7XBAUaBCjj62Vzp,200,"[0.792, 0.42, 0.258, 0.203, 0.456, 0.547, 0.467, 0.431, 0.421, 0.456, 1.0, 0.188]"
4FUypzXZFyV39oju35yZpC,200,"[1.0, 0.25, 0.243, 0.243, 0.426, 0.427, 0.407, 0.405, 0.343, 0.342, 0.141, 0.067]"
5vObiA5y1Ze7QsvBBJDVQm,200,"[0.946, 1.0, 0.977, 0.613, 0.637, 0.84, 0.772, 0.727, 0.746, 0.691, 0.87, 0.622]"
3T1QeiwryObE3EgBHpjPS5,200,"[0.071, 0.128, 0.192, 0.161, 0.162, 0.206, 0.463, 1.0, 0.088, 0.153, 0.131, 0.084]"
6fQ89O6r2y4zwJ3a7hFEqn,200,"[0.309, 0.145, 0.121, 0.046, 0.094, 0.219, 0.117, 0.062, 0.048, 0.045, 0.032, 1.0]"
6VgieIK6DHvx8ORQIOcF6a,200,"[0.908, 1.0, 0.613, 0.319, 0.281, 0.304, 0.336, 0.215, 0.342, 0.219, 0.253, 0.62]"
47xckjB5HZPYy8NnKLduso,200,"[0.911, 1.0, 0.496, 0.458, 0.491, 0.468, 0.475, 0.486, 0.476, 0.391, 0.41, 0.393]"
3aTKwnbxsFubCUlDTA5BBK,200,"[0.583, 0.76, 1.0, 0.746, 0.797, 0.741, 0.64, 0.474, 0.351, 0.425, 0.516, 0.602]"
6sEgLgl7zbOfYW6bdAxzGS,200,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
37fQIkJfH5zkY7DCGqCOs0,200,"[0.798, 0.873, 0.817, 0.81, 0.824, 0.72, 0.691, 0.815, 1.0, 0.974, 0.886, 0.952]"
7jZpf0fy7Ma7bfAM4dsnOV,200,"[0.802, 1.0, 0.998, 0.788, 0.628, 0.556, 0.557, 0.616, 0.725, 0.611, 0.494, 0.296]"
31RaDgIT9ThS06Dgud5A66,200,"[0.997, 0.964, 0.897, 0.856, 0.869, 1.0, 0.909, 0.824, 0.828, 0.876, 0.827, 0.874]"
6xQMr1VvWrqjZ5YVJQlV24,200,"[0.713, 0.748, 0.483, 0.495, 0.647, 0.53, 0.685, 0.612, 1.0, 0.654, 0.844, 0.563]"
2nBuUXt5JlTvGjERH7rXLk,200,"[0.253, 0.327, 0.314, 0.326, 0.347, 0.347, 0.391, 1.0, 0.726, 0.338, 0.331, 0.373]"
5PdM8NSHhzJlaM1ctkCPr1,200,"[1.0, 0.681, 0.475, 0.409, 0.369, 0.416, 0.739, 0.612, 0.544, 0.58, 0.434, 0.413]"
677H0lEBwZeO0x1ruoGzdu,200,"[0.589, 0.131, 0.112, 0.121, 0.262, 1.0, 0.206, 0.567, 0.177, 0.125, 0.152, 0.152]"
0KopjoC6EQlwV52sbKnVIH,200,"[0.518, 0.742, 0.621, 0.663, 0.509, 0.655, 0.637, 1.0, 0.63, 0.47, 0.354, 0.532]"
1862H5N70idNxFvYFwy0Vl,200,"[0.501, 0.845, 0.737, 0.968, 0.568, 0.783, 0.533, 0.563, 0.795, 1.0, 0.915, 0.656]"
4FuvZ2chw6jAhSoWAE0tJi,200,"[0.651, 1.0, 0.469, 0.273, 0.349, 0.427, 0.347, 0.259, 0.187, 0.162, 0.171, 0.369]"
4fMJpXa3kmEtOqlKVEBdWK,200,"[0.511, 0.533, 0.469, 0.507, 0.988, 1.0, 0.877, 0.912, 0.52, 0.52, 0.286, 0.143]"
1LbJ3TtZx5Y8yfaCxO7Rjj,200,"[0.379, 0.155, 0.22, 0.37, 0.178, 0.37, 0.15, 0.809, 1.0, 0.264, 0.405, 0.258]"
6r1i2dCmNPx5FjCCUbHk76,200,"[0.174, 0.165, 0.262, 1.0, 0.45, 0.149, 0.22, 0.166, 0.139, 0.191, 0.183, 0.145]"
1rKmQ8pWqhcQxZKewG0Toy,200,"[0.861, 0.864, 0.964, 0.838, 0.844, 0.823, 0.811, 0.8, 0.832, 0.917, 0.98, 1.0]"
3ygR6BIrsjInHOIUOwz12v,200,"[0.746, 1.0, 0.781, 0.787, 0.884, 0.895, 0.759, 0.772, 0.837, 0.589, 0.81, 0.715]"
3YPY9T4oY5DGmXIvcK7JZy,200,"[0.086, 0.057, 0.089, 0.256, 0.687, 0.094, 0.146, 0.451, 1.0, 0.453, 0.207, 0.451]"
1vKjyipZjeKclk4jgPacU8,200,"[0.118, 0.273, 0.115, 0.079, 0.086, 0.044, 0.103, 0.024, 0.074, 1.0, 0.173, 0.007]"
74DaOW7FM0a2QqZTBpKfKJ,200,"[1.0, 0.422, 0.468, 0.382, 0.209, 0.175, 0.576, 0.336, 0.239, 0.256, 0.542, 0.663]"
